Date,Location,Coordinates,Shape,Contact (Hynek),Beings/Witnesses,Evidence/Physical Impact,Primary Source
1996,"Fox Lake, YT","61.2, -135.4",Mothership,CE1,31 Witnesses,Massive craft (3 football fields wide),Yukon Govt Files
2004,"Fort Erie, ON","42.9, -78.9",Vibrating Lights,NL,Multi-witness,Lights dancing over Lake Erie,Ufology Research
2007,"St-Hilaire, QC","45.5624, -73.1919",Glowing Orb,NL,Residents,Orb emerging from Mont St-Hilaire,Local Reports
2008,"Niagara Falls, ON","43.0, -79.0",Orbs,CE1,Hotel Security,Men in Black reported at Sheraton,CCTV/Witness
"Jan 5, 2008","Stephenville, NL","48.9, -58.6",V-Formation,DD,Dozens of residents; teen boy; CFB Goose Bay radar,30+ credible reports; military radar tracks at impossible speeds; RCMP dispatch audio,RCMP & DND Radar Data
2010,"Harbour Mille, NL","47.6, -54.6",Missiles,CE1,Multi-witness,3 projectile-like objects from water,PMO/RCMP Inquiry
Oct 2008,"Valcartier, QC","46.9, -71.5",Triangle,NL,Multiple witnesses near military base,Massive triangular craft; base lockdown alleged; EM interference,Radio-Canada; CUFON
2012,"Hamilton, ON","43.2, -79.8",V-Formation,NL,Dozens of witnesses,High-quality YouTube video uploads,Multi-source
2014,"Vancouver, BC","49.2, -123.1",Mechanical,DD,Commercial Pilot,Near-miss at YVR airport,CADORS
2015,"Oshawa, ON","43.8, -78.8",Black Cube,DD,Amateur Video,Cube rotating in clear sky,Video Evidence
2016,"Ashmount, AB","53.9, -111.4",Bright Orb,CE1,Oil workers,Electromagnetic interference with trucks,Field Reports
2021,Gulf of St. Law.,"48.0, -62.0",Green Light,NL,Military/Commercial,Verified by two different aircraft,CADORS 2021Q2032
2024,"Hafford, SK","52.8, -107.3",Domed Disc,CE1,Single witness,Low altitude hover over field,MUFON Case 13582
2025,"Sudbury, ON","46.4, -80.9",Orange Diamond,NL,4 Witnesses,Pulsating orange light over mines,2025 Ufology Report
2025,N. Alberta,"56.0, -115.0",Cylinder,RV,Pilot,"Incident at 39,000ft; high speed",CADORS (Projected)
Feb 2025,"Vulcan County, AB","50.5, -113.2",Unknown (fast non-transponder),RV,Commercial pilot,Flight telemetry; CVR audio; ATC confirmation; no military exercises,ASRS / Global News
2025,"Sheridan Lake, BC","51.5, -120.9",Pulsating Orb,NL,Campers,Interference with cell phones,Canadian UFO Survey
2014,"Kensington, PE","46.43, -63.64",Bright Lights,NL,John Sheppard,22-minute cellphone video; MUFON confirmed; CBC News verified,MUFON / CBC News
1997,"Trail, BC","49.1, -117.7",Small Lights,NL,Two women on bridge,"Descended to water, zig-zagged eastbound",Witness accounts
2014,"North York (Toronto), ON","43.77, -79.41",Flashing Lights,NL,Sarah Chun + Police,Two cellphone videos,YouTube / Toronto Police 32 Division
1975,"Southern Manitoba, MB","49.5, -98.0",Multiple types,NL,Multiple RCMP reports,Multi-month wave documentation,Chris Rutkowski / Ufology Research
2002,"Terrace, BC","54.5, -128.6",Multiple shapes,NL,25 reports in 2002,Highest per-capita rate in Canada,Canadian UFO Survey
1989,"Montreal, QC","45.5, -73.55",Boomerang-shaped,NL,Thousands of witnesses,Mass sighting over Montreal (~1 hour),Montreal media
1975,"Dawson Creek, BC","55.76, -120.24",Cigar-shaped,RV,Multiple witnesses,Hovered then accelerated rapidly,RCMP reports
1966,"Cranbrook, BC","49.5, -115.77",Disc,CE2,Multiple witnesses,Landing gear impressions in soil,RCMP investigation
1996,"St. Stephen, NB","45.2, -67.28",Disc with entity,CE3,Multiple witnesses,Humanoid figure near landed craft,MUFON
2010,"Harbour Mille, NL","47.5, -54.8",Missile-shaped,NL,Multiple witnesses,Additional sightings after Jan 25 event,RCMP statements
1969,"Gimli, MB","50.63, -96.99",Orange Lights,NL,Multiple witnesses,Orange lights over Lake Winnipeg,RCMP reports
1973,"Bonnyville, AB","54.27, -110.73",Disc,CE2,Multiple witnesses,Burned vegetation + ground impressions,RCMP investigation
1994,"Rama Road (Orillia), ON","44.6, -79.4",Bright Light,CE4,Single witness,Missing time after rural road encounter,MUFON
2022,"Yellowknife, NT","62.45, -114.38",Unknown,NL,Multiple witnesses,DND tracking data,Department of Defence
